faixa,sexo,COUNT(idade)
30-39,Feminino,16325
40-49,Feminino,13852
30-39,Masculino,13076
20-29,Feminino,12072
40-49,Masculino,10722
50-59,Feminino,9949
20-29,Masculino,9523
50-59,Masculino,7860
60-69,Feminino,5564
60-69,Masculino,4435
10-19,Feminino,4398
10-19,Masculino,3575
70-79,Feminino,3358
70-79,Masculino,2751
0-9,Masculino,2304
80+,Feminino,2303
0-9,Feminino,2254
80+,Masculino,1752
